Name,Group,0,1,2,3,4,5,6,7,8,9
Irrad,project,1819.068734,1832.306726,1771.301039,1891.951153,1824.203751,1606.673108,1550.686054,1505.104732,1503.500525,1553.168605
Eff_PV,project,0.285568828,0.279999842,0.285945114,0.271023439,0.300171879,0.267573992,0.292984724,0.273783065,0.276887795,0.290374861
PR_PV,project,0.839768406,0.830481697,0.840587192,0.846657804,0.836292973,0.875406278,0.839825363,0.872085546,0.870281726,0.820590169
LT,project,38.59823191,29.9583183,28.28815237,32.01319621,20.37049144,34.063484,28.2632375,25.51414734,28.04731365,26.29715508
Elec_Siem,activity,75.49366318,113.0851442,93.99311788,105.0037758,124.6824128,104.2202052,98.18104826,85.96371066,97.96096903,130.2196249
Heat_Siem,activity,131.3439243,114.3549164,146.4612655,220.997839,176.574079,266.9414213,210.1491469,188.4827709,232.7475884,170.5575568
Elec_CZ,activity,82.65129944,74.18997101,86.55310055,107.8530551,60.71810412,88.38433461,94.10141991,86.22350782,84.89537076,71.4235967
scSi_CZ,activity,0.878757924,1.246095509,1.244934894,1.267289299,0.828153347,0.855937327,0.933561017,0.815445263,0.964498342,1.054136638
RT_movpe,project,3.173179281,3.213970798,1.517630106,2.735809055,2.766924883,3.33413925,3.43606845,3.457933354,2.852342666,3.423591974
P_movpe_tool,project,473.8037491,478.8204754,442.8759252,461.6598407,299.8180975,472.7050212,455.0158817,457.3516464,398.5481203,425.1141085
Zeol_scrub,project,5.076990421,3.198469217,3.177581584,3.96142777,2.607712498,4.838293341,5.506434407,5.183151527,6.567943176,3.715497815
Cu_zeol,project,0.32077796,0.341084245,0.246581074,0.350284021,0.277525468,0.538114995,0.461685522,0.402038274,0.289520383,0.339554775
Cu_rec,project,1,1,1,0,0,1,1,0,0,0
bin_NPsynthCu,project,0,0,0,1,1,0,0,1,0,1
bin_NPsynthAg,project,1,0,0,0,0,1,1,1,1,0
bin_CuSint,project,0,0,0,1,0,0,0,1,0,0
bin_AgSint,project,1,0,1,0,1,0,1,1,1,0
bin_FM,project,0,1,0,0,1,0,1,1,1,0
Al_panel,project,2.28886757,3.446139319,2.131542326,2.901235429,2.17950376,2.626921962,2.506094823,4.390349539,2.897792841,3.288626189
Glass_panel,project,8.143011395,10.29788902,10.60995557,8.347655727,10.96013331,7.914495576,9.504261496,8.056307435,13.00542665,13.7065924
Elec_panel,project,3.123971879,4.474423685,4.836726397,3.6230869,5.631549061,7.676379479,6.195367072,4.728242182,5.50748667,4.413819079
